DDODesc,MAJOR,RECEIPTHEAD,BOOKDATE,Tenderer,Challan,NETRECEIPT
UNA03-209-GSSS RAIPUR MAIDAN,0070-OTHER ADMINISTRATIVE SERVICES,0070-60-118-01-RECEIPT FROM RIGHT TO INFORMATION ACT,27/04/2018,"[F0070000001] HIMGRN:b18d162721, PRINCIPAL GSSS RAIPUR MAIDAN UNA RECEIPT FROM RIGHT TO INFORMATION ACT -",1,20
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,29/04/2017,"[F0202000009] HIMGRN:B17D150085, PRINCIPAL GSSS RAIPUR MAIDAN UNA SECONDARY EDUCATION -",1,180
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-101-02-SECONDARY EDUCATION,08/05/2018,"[G0202000010] HIMGRN:B18E112597, PRINCIPAL GSSS RAIPUR MAIDAN DISTT UNA HP SECONDARY EDUCATION -",1,85
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,24/04/2017,"[F0202000002] HIMGRN:B17D128733, PRINCIPAL TUITION AND OTHER FEES -",1,2115
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,29/04/2017,"[F0202000010] HIMGRN:B17D153762, PRINCIPAL GSSS RAIPUR MAIDAN UNA TUITION AND OTHER FEES -",1,3435
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2017,"[G0202000002] HIMGRN:B17D175373, PRINCIPAL GSSS RAIPUR MAIDAN UNA TUITION AND OTHER FEES -",1,30
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,08/05/2017,"[G0202000003] HIMGRN:B17D165279, PRINCIPAL GSSS RAIPUR MAIDAN TUITION AND OTHER FEES -",1,795
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/05/2017,"[G0202000020] HIMGRN:B17E121455, PRINCIPAL GSSS RAIPUR MAIDAN TUITION AND OTHER FEES -",1,85
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/05/2017,"[G0202000027] HIMGRN:B17E134338, PRINCIPAL GSSS RAIPUR MAIDAN TUITION AND OTHER FEES -",1,90
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/06/2017,"[H0202000003] HIMGRN:B17F112216, PRINCIPAL GSSS RAIPUR MAIDAN TUITION AND OTHER FEES -",1,100
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,30/06/2017,"[H0202000011] HIMGRN:B17F137090, PRINCIPAL GSSS RAIPUR MAIDAN TUITION AND OTHER FEES -",1,3580
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,31/08/2017,"[J0202000007] HIMGRN:B17H123900, PRINCIPAL GSSS RAIPUR MAIDAN UNA TUITION AND OTHER FEES -",1,15
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/10/2017,"[L0202000006] HIMGRN:B17J113215, PRINCIPAL GSSS RAIPUR MAIDAN UNA TUITION AND OTHER FEES -",1,3470
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,22/01/2018,"[C0202000004] HIMGRN:B18A113593, PRINCIPAL GSSS RAIPUR MAIDAN UNA TUITION AND OTHER FEES -",1,3470
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,25/04/2018,"[F0202000003] HIMGRN:B18D132722, PRINCIPAL GSSS RAIPUR MAIDAN TUITION AND OTHER FEES -",1,2580
UNA03-209-GSSS RAIPUR MAIDAN,"0202-EDUCATION SPORTS,ARTS & CULTURE",0202-01-102-01-TUITION AND OTHER FEES,27/04/2018,"[F0202000013] HIMGRN:B18D153074, PRINCIPAL GSSS RAIPUR MAIDAN UNA TUITION AND OTHER FEES -",1,1485
